time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	1.50684e-32	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.437135	0.571277	0.415982	-1.97867e-17	-1.38778e-17	radar	3.50034	0.862916	0.534212	0.859997	0.600045	5.19975	0.000345566
1477010443100000	0.834282	0.531407	1.69869	-0.0266536	-0.00248441	lidar	11.1282	1.17385	0.481073	1.11998	0.600225	5.19943	0.00103664
1477010443150000	0.908166	0.512649	1.83885	-0.0972574	-0.0120251	radar	0.526568	0.969149	0.397513	1.37996	0.600629	5.19899	0.00207312
1477010443200000	1.32942	0.569285	3.23872	0.286157	0.0510261	lidar	10.1314	1.65063	0.62469	1.6399	0.601347	5.19842	0.00345484
1477010443250000	1.47387	0.565478	3.3905	0.137982	0.017414	radar	0.533885	1.62331	0.499091	1.89982	0.60247	5.19773	0.00518158
1477010443300000	1.90095	0.605578	4.423	0.124176	0.00579947	lidar	7.70233	2.18882	0.648739	2.1597	0.604086	5.19691	0.00725307
1477010443350000	2.08131	0.60984	4.35747	0.0862159	-0.0111069	radar	0.22787	1.96701	0.557116	2.41954	0.606284	5.19597	0.00966898
1477010443400000	2.45469	0.643786	4.90135	0.0905794	-0.0071001	lidar	3.36457	2.65526	0.66598	2.67932	0.609155	5.19491	0.0124289
1477010443450000	2.72313	0.657458	4.99538	0.0768016	-0.0227122	radar	0.507143	2.92034	0.645898	2.93904	0.612786	5.19372	0.0155325
1477010443500000	2.98536	0.649493	5.04669	0.0437479	-0.0716296	lidar	0.0787522	3.01222	0.637046	3.19869	0.617267	5.19241	0.0189791
1477010443550000	3.27358	0.618438	5.14818	-0.00971809	-0.17644	radar	1.30815	3.56096	0.485311	3.45825	0.622686	5.19097	0.0227684
1477010443600000	3.66981	0.425907	5.48658	-0.232558	-0.66884	lidar	5.20997	3.89365	0.311793	3.71772	0.629131	5.18942	0.0268996
1477010443650000	3.96261	0.435565	5.55332	-0.177187	-0.431605	radar	1.68868	4.19786	0.698311	3.97708	0.636689	5.18775	0.0313721
1477010443700000	4.26379	0.506064	5.60226	-0.0633756	-0.0807337	lidar	0.787332	4.30935	0.578564	4.23632	0.645449	5.18595	0.0361852
1477010443750000	4.54848	0.533166	5.61228	-0.0176613	0.0464929	radar	0.422998	4.61908	0.68951	4.49542	0.655498	5.18405	0.0413382
1477010443800000	4.67534	0.746199	5.27472	0.197656	0.549496	lidar	9.31604	4.35143	0.899174	4.75437	0.666921	5.18202	0.0468302
1477010443850000	4.95519	0.772071	5.32486	0.195588	0.480256	radar	0.955334	5.20902	0.66599	5.01316	0.679804	5.17988	0.0526604
1477010443900000	5.31019	0.716126	5.49892	0.107639	0.230914	lidar	3.38579	5.51893	0.648233	5.27175	0.694234	5.17763	0.0588279
1477010443950000	5.55202	0.730333	5.44731	0.106692	0.206921	radar	1.37515	5.22835	0.639362	5.53013	0.710295	5.17526	0.0653316
1477010444000000	5.8792	0.725543	5.5437	0.0822715	0.136189	lidar	1.32352	6.022	0.708619	5.78828	0.728071	5.17278	0.0721706
1477010444050000	6.13678	0.684375	5.50842	0.0374216	0.0404974	radar	2.01292	5.89392	0.373584	6.04618	0.747646	5.1702	0.0793437
1477010444100000	6.38557	0.830177	5.48571	0.145123	0.227535	lidar	1.46805	6.34249	0.948833	6.30379	0.769103	5.16751	0.0868499
1477010444150000	6.65284	0.865676	5.48118	0.15261	0.220993	radar	0.0324066	6.62134	0.836138	6.56111	0.792523	5.16471	0.0946879
1477010444200000	6.89189	0.816588	5.42169	0.101519	0.121459	lidar	1.56776	6.78214	0.714036	6.81808	0.817988	5.1618	0.102857
1477010444250000	7.17113	0.81092	5.43179	0.0839658	0.0845416	radar	0.627355	7.29121	0.630741	7.07469	0.845578	5.1588	0.111354
1477010444300000	7.36408	0.898775	5.33233	0.13456	0.154409	lidar	3.37367	7.13735	0.957217	7.3309	0.875372	5.15569	0.12018
1477010444350000	7.65815	0.915306	5.37281	0.127708	0.133051	radar	2.28009	8.08349	0.819605	7.58668	0.907449	5.15249	0.129333
1477010444400000	7.90163	0.852099	5.32581	0.0767616	0.0527522	lidar	1.8718	7.80533	0.719126	7.84199	0.941886	5.14919	0.138811
1477010444450000	8.18098	0.872603	5.34575	0.0784315	0.0513815	radar	0.606899	8.40453	0.884557	8.0968	0.978758	5.14579	0.148612
1477010444500000	8.40333	0.875427	5.28395	0.0728372	0.0405687	lidar	1.45515	8.24796	0.840322	8.35106	1.01814	5.14231	0.158736
1477010444550000	8.6508	0.959349	5.27254	0.1114	0.0882739	radar	3.03896	8.45858	1.41118	8.60472	1.06011	5.13873	0.169179
1477010444600000	8.87519	1.01544	5.22679	0.131778	0.108665	lidar	1.03897	8.74615	1.04858	8.85775	1.10473	5.13507	0.179942
1477010444650000	9.17672	1.05669	5.28562	0.138329	0.109992	radar	5.93348	9.8809	1.1419	9.1101	1.15208	5.13132	0.191022
