time_stamp	track_id	x_state	y_state	v_state	yaw_state	yaw_rate_state
10000	-1	-0.0954868	21.6551	0.314192	-0.00017679	-1.551e-06
10000	-1	-6.37627	23.051	0.522154	-0.00031856	-2.79476e-06
20000	-1	-0.0972133	21.6507	0.318075	-0.000280048	-3.40877e-06
20000	-1	-6.38517	23.0685	0.514161	0.000367092	9.53571e-06
30000	-1	-0.0912335	21.6517	0.3172	-0.00018209	-2.13618e-07
30000	-1	-6.38989	23.1069	0.501245	0.00607435	0.00019433
40000	-1	-0.0822234	21.6673	0.317292	0.00345899	0.000192307
40000	-1	-6.39235	23.127	0.486314	0.0132932	0.000570484
50000	-1	-0.0732588	21.6708	0.327891	0.0050659	0.000318315
50000	-1	-6.37512	23.1001	0.494682	-0.00560345	-0.000896981
60000	-1	-0.0689177	21.6718	0.319374	0.00588599	0.000407909
60000	-1	-6.36842	23.1093	0.469959	0.00537261	0.000300866
70000	0	-0.0607724	21.671	0.309124	0.00474862	0.000238323
70000	1	-6.3612	23.1111	0.442483	0.00834996	0.000726341
80000	0	-0.0568534	21.6859	0.283804	0.0334758	0.00554343
80000	1	-6.35043	23.0986	0.417843	-0.0222956	-0.00486567
90000	0	-0.0537643	21.6933	0.258446	0.0522581	0.00963257
90000	1	-6.34747	23.0909	0.373751	-0.0450947	-0.00985345
100000	0	-0.0539969	21.682	0.227229	0.0163098	0.000103365
100000	1	-6.33863	23.0796	0.351762	-0.0841734	-0.0198349
110000	0	-0.0508945	21.683	0.210697	0.0202058	0.00124607
110000	1	-6.34985	23.0953	0.290718	-0.021226	-0.000516254
120000	0	-0.0485701	21.6998	0.196399	0.0917229	0.0243185
120000	1	-6.35497	23.1001	0.253887	-0.00081633	0.00623203
129999	0	-0.0518363	21.6942	0.175046	0.0665473	0.0145385
129999	1	-6.33574	23.0681	0.262572	-0.145263	-0.0461825
140000	0	-0.0511293	21.6942	0.164248	0.0682163	0.0144774
140000	1	-6.32116	23.0401	0.264218	-0.274253	-0.0939597
150000	0	-0.053735	21.7085	0.152808	0.150985	0.0454239
150000	1	-6.3335	23.0576	0.229347	-0.192692	-0.0555879
160000	0	-0.0524389	21.7197	0.148378	0.22283	0.0708775
160000	1	-6.33824	23.0596	0.209984	-0.189592	-0.0510648
170000	0	-0.0504262	21.7168	0.145275	0.215229	0.0634605
170000	1	-6.34992	23.0775	0.183432	-0.108576	-0.0126979
180000	0	-0.0542905	21.7264	0.139886	0.300233	0.0926613
180000	1	-6.34898	23.0717	0.177118	-0.150928	-0.0301908
190000	0	-0.0541973	21.7322	0.139511	0.371194	0.113666
190000	1	-6.3596	23.0913	0.155872	-0.0525137	0.0146467
200000	0	-0.0546469	21.7233	0.135478	0.354884	0.0993849
200000	1	-6.36279	23.0905	0.147922	-0.0715622	0.00555898
210000	0	-0.0574498	21.7309	0.139194	0.489473	0.1413
210000	1	-6.37044	23.1065	0.133158	0.0180004	0.0420835
220000	0	-0.0585439	21.7264	0.14112	0.566325	0.157877
220000	1	-6.37737	23.1172	0.12302	0.0801477	0.0634336
230000	0	-0.0598334	21.7271	0.152705	0.732447	0.201989
230000	1	-6.38482	23.13	0.11315	0.170843	0.0927963
